t,coverage,leader,elections,impeachments,loop_detections,aimless_detections,avg_trust,demoted_leaders,predicted_gain,observed_gain,hallucinating,hallucination_type,origin_leader,fallback_blocked,graph_avg_degree,graph_component_count,graph_ttl_risk_frac,cohesion_scale,eff_connectivity_beta,eff_tether_lambda,eff_degree_under,eff_spacing,fallback_applied
148,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
149,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
150,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
151,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
152,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
153,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
154,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
155,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
156,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
157,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
158,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
159,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
160,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
161,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
162,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
163,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
164,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
165,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
166,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
167,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
168,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
169,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
170,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
171,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
172,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
173,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
174,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
175,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
176,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
177,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
178,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
179,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
180,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
181,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
182,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
183,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
184,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
185,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
186,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
187,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
188,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
189,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
190,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
191,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
192,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
193,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
194,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
195,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
196,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
197,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
198,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
199,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
200,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
201,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
202,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
203,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
204,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
205,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
206,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
207,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
208,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
209,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
210,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
211,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
212,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
213,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
214,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
215,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
216,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
217,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
218,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
219,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
220,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
221,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
222,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
223,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
224,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
225,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
226,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
227,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
228,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
229,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
230,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
231,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
232,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
233,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
234,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
235,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
236,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
237,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
238,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
239,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
240,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
241,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
242,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
243,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
244,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
245,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
246,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
247,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
248,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
249,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
250,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
251,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
252,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
253,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
254,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
255,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
256,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
257,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
258,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
259,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
260,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
261,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
262,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
263,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
264,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
265,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
266,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
267,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
268,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
269,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
270,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
271,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
272,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
273,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
274,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
275,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
276,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
277,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
278,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
279,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
280,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
281,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
282,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
283,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
284,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
285,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
286,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
287,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
288,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
289,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
290,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
291,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
292,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
293,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
294,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
295,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
296,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
297,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
298,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
299,0.9587234042553191,3,4,0,0,0,0.8576978468542512,0,0.0,0.0,0,,,0,4.0,1,0.0,0.5,0.0,0.0,0.2,2,0
